species,category,total,male,female,females_per_1000_males
human,human,976,821,155,189
deva,divine,94,92,2,22
monkey,animal,36,36,0,0
deer,animal,28,23,5,217
horse,animal,26,24,2,83
elephant,animal,24,21,3,143
goose,animal,22,20,2,100
crow,animal,22,20,2,100
jackal,animal,21,21,0,0
lion,animal,17,16,1,62
parrot,animal,17,17,0,0
rat,animal,15,15,0,0
naga,divine,14,11,3,273
fish,animal,11,8,3,375
bird,animal,9,7,2,286
crocodile,animal,8,5,3,600
snake,animal,8,8,0,0
pigeon,animal,7,7,0,0
yakkha,divine,6,6,0,0
quail,animal,6,6,0,0
iguana,animal,6,5,1,200
vulture,animal,6,6,0,0
turtle,animal,6,6,0,0
tiger,animal,5,5,0,0
bull,animal,5,5,0,0
dog,animal,4,4,0,0
pig,animal,4,4,0,0
cat,animal,4,2,2,1000
chicken,animal,4,4,0,0
donkey,animal,4,2,2,1000
cuckoo,animal,4,4,0,0
peacock,animal,3,3,0,0
partridge,animal,3,3,0,0
boar,animal,3,3,0,0
falcon,animal,3,2,1,500
otter,animal,3,3,0,0
woodpecker,animal,3,3,0,0
buffalo,animal,3,3,0,0
crab,animal,2,2,0,0
crane,animal,1,1,0,0
mouse,animal,1,0,1,0
chameleon,animal,1,1,0,0
insect,animal,1,1,0,0
heron,animal,1,1,0,0
frog,animal,1,1,0,0
